Name,Date,Close
Quant Active Fund Gr,24-04-2024,658.122
Quant Active Fund Gr,23-04-2024,652.321
Quant Active Fund Gr,22-04-2024,649.7063
Quant Active Fund Gr,19-04-2024,641.6291
Quant Active Fund Gr,18-04-2024,641.9648
Quant Active Fund Gr,16-04-2024,643.7749
Quant Active Fund Gr,15-04-2024,642.0101
Quant Active Fund Gr,12-04-2024,650.7151
Quant Active Fund Gr,10-04-2024,654.1684
Quant Active Fund Gr,09-04-2024,649.8691
Quant Active Fund Gr,08-04-2024,649.544
Quant Active Fund Gr,05-04-2024,648.6462
Quant Active Fund Gr,04-04-2024,644.5665
Quant Active Fund Gr,03-04-2024,644.492
Quant Active Fund Gr,02-04-2024,637.7451
Quant Active Fund Gr,01-04-2024,632.9981
Quant Active Fund Gr,31-03-2024,617.9561
Quant Active Fund Gr,28-03-2024,617.9979
Quant Active Fund Gr,27-03-2024,613.8517
Quant Active Fund Gr,26-03-2024,610.9961
Quant Active Fund Gr,22-03-2024,608.5935
Quant Active Fund Gr,21-03-2024,605.5274
Quant Active Fund Gr,20-03-2024,592.6972
Quant Active Fund Gr,19-03-2024,593.038
Quant Active Fund Gr,18-03-2024,604.3264
Quant Active Fund Gr,15-03-2024,598.5643
Quant Active Fund Gr,14-03-2024,599.4033
Quant Active Fund Gr,13-03-2024,584.2209
Quant Active Fund Gr,12-03-2024,615.3383
Quant Active Fund Gr,11-03-2024,624.4168
Quant Active Fund Gr,07-03-2024,631.8441
Quant Active Fund Gr,06-03-2024,628.6589
Quant Active Fund Gr,05-03-2024,633.8832
Quant Active Fund Gr,04-03-2024,636.4885
Quant Active Fund Gr,01-03-2024,625.6191
Quant Active Fund Gr,29-02-2024,617.32
Quant Active Fund Gr,28-02-2024,612.7635
Quant Active Fund Gr,27-02-2024,623.4515
Quant Active Fund Gr,26-02-2024,626.8261
Quant Active Fund Gr,23-02-2024,629.9541
Quant Active Fund Gr,22-02-2024,627.5213
Quant Active Fund Gr,21-02-2024,618.639
Quant Active Fund Gr,20-02-2024,623.6985
Quant Active Fund Gr,19-02-2024,623.4107
Quant Active Fund Gr,16-02-2024,618.8035
Quant Active Fund Gr,15-02-2024,616.7865
Quant Active Fund Gr,14-02-2024,610.5419
Quant Active Fund Gr,13-02-2024,602.0836
Quant Active Fund Gr,12-02-2024,601.2888
Quant Active Fund Gr,09-02-2024,619.1333
Quant Active Fund Gr,08-02-2024,625.2797
Quant Active Fund Gr,07-02-2024,625.0266
Quant Active Fund Gr,06-02-2024,624.425
Quant Active Fund Gr,05-02-2024,618.4539
Quant Active Fund Gr,02-02-2024,614.9372
Quant Active Fund Gr,01-02-2024,609.5428
Quant Active Fund Gr,31-01-2024,612.6397
Quant Active Fund Gr,30-01-2024,606.2594
Quant Active Fund Gr,29-01-2024,606.6349
Quant Active Fund Gr,25-01-2024,593.4329
Quant Active Fund Gr,24-01-2024,589.2893
Quant Active Fund Gr,23-01-2024,577.3682
Quant Active Fund Gr,19-01-2024,592.9102
Quant Active Fund Gr,18-01-2024,584.9413
Quant Active Fund Gr,17-01-2024,581.2088
Quant Active Fund Gr,16-01-2024,588.4435
Quant Active Fund Gr,15-01-2024,591.8532
Quant Active Fund Gr,12-01-2024,586.6376
Quant Active Fund Gr,11-01-2024,583.5784
Quant Active Fund Gr,10-01-2024,579.8525
Quant Active Fund Gr,09-01-2024,575.7228
Quant Active Fund Gr,08-01-2024,573.0221
Quant Active Fund Gr,05-01-2024,580.3548
Quant Active Fund Gr,04-01-2024,581.4106
Quant Active Fund Gr,03-01-2024,573.5107
Quant Active Fund Gr,02-01-2024,574.9393
Quant Active Fund Gr,01-01-2024,575.5106
Quant Active Fund Gr,29-12-2023,572.6229
Quant Active Fund Gr,28-12-2023,571.0828
Quant Active Fund Gr,27-12-2023,565.2779
Quant Active Fund Gr,26-12-2023,562.8494
Quant Active Fund Gr,22-12-2023,559.4307
Quant Active Fund Gr,21-12-2023,554.4757
Quant Active Fund Gr,20-12-2023,543.1603
Quant Active Fund Gr,19-12-2023,560.5398
Quant Active Fund Gr,18-12-2023,559.413
Quant Active Fund Gr,15-12-2023,555.9159
Quant Active Fund Gr,14-12-2023,552.6418
Quant Active Fund Gr,13-12-2023,546.8147
Quant Active Fund Gr,12-12-2023,544.1271
Quant Active Fund Gr,11-12-2023,545.1836
Quant Active Fund Gr,08-12-2023,542.3005
Quant Active Fund Gr,07-12-2023,545.6007
Quant Active Fund Gr,06-12-2023,544.7566
Quant Active Fund Gr,05-12-2023,542.4513
Quant Active Fund Gr,04-12-2023,538.6189
Quant Active Fund Gr,01-12-2023,532.9267
Quant Active Fund Gr,30-11-2023,529.9207
Quant Active Fund Gr,29-11-2023,527.2359
Quant Active Fund Gr,28-11-2023,524.6516
Quant Active Fund Gr,24-11-2023,521.4137
Quant Active Fund Gr,23-11-2023,519.5256
Quant Active Fund Gr,22-11-2023,520.8136
Quant Active Fund Gr,21-11-2023,520.8323
Quant Active Fund Gr,20-11-2023,517.8723
Quant Active Fund Gr,17-11-2023,518.0507
Quant Active Fund Gr,16-11-2023,518.1875
Quant Active Fund Gr,15-11-2023,515.8507
Quant Active Fund Gr,13-11-2023,511.4833
Quant Active Fund Gr,10-11-2023,508.0591
Quant Active Fund Gr,09-11-2023,506.5073
Quant Active Fund Gr,08-11-2023,506.6531
Quant Active Fund Gr,07-11-2023,503.8797
Quant Active Fund Gr,06-11-2023,500.9886
Quant Active Fund Gr,03-11-2023,496.0214
Quant Active Fund Gr,02-11-2023,493.5016
Quant Active Fund Gr,01-11-2023,488.9437
Quant Active Fund Gr,31-10-2023,490.7445
Quant Active Fund Gr,30-10-2023,491.8466
Quant Active Fund Gr,27-10-2023,488.9417
Quant Active Fund Gr,26-10-2023,481.0964
Quant Active Fund Gr,25-10-2023,485.3344
Quant Active Fund Gr,23-10-2023,488.1296
Quant Active Fund Gr,20-10-2023,502.7942
Quant Active Fund Gr,19-10-2023,508.9801
Quant Active Fund Gr,18-10-2023,508.2723
Quant Active Fund Gr,17-10-2023,512.1752
Quant Active Fund Gr,16-10-2023,511.4822
Quant Active Fund Gr,13-10-2023,511.7966
Quant Active Fund Gr,12-10-2023,513.4926
Quant Active Fund Gr,11-10-2023,509.6298
Quant Active Fund Gr,10-10-2023,506.8405
Quant Active Fund Gr,09-10-2023,499.105
Quant Active Fund Gr,06-10-2023,506.1952
Quant Active Fund Gr,05-10-2023,503.4728
Quant Active Fund Gr,04-10-2023,503.1118
Quant Active Fund Gr,03-10-2023,509.2535
Quant Active Fund Gr,29-09-2023,510.1892
Quant Active Fund Gr,27-09-2023,509.9162
Quant Active Fund Gr,26-09-2023,505.931
Quant Active Fund Gr,25-09-2023,507.1205
Quant Active Fund Gr,22-09-2023,504.9178
Quant Active Fund Gr,21-09-2023,505.4111
Quant Active Fund Gr,20-09-2023,509.4632
