Date,Close,Nifty50
04-24-2024,658.122,22402.4
04-23-2024,652.321,22368
04-22-2024,649.7063,22336.4
04-19-2024,641.6291,22147
04-18-2024,641.9648,21995.85
04-16-2024,643.7749,22147.9
04-15-2024,642.0101,22272.5
04-12-2024,650.7151,22519.4
04-10-2024,654.1684,22753.8
04-09-2024,649.8691,22642.75
04-08-2024,649.544,22666.3
04-05-2024,648.6462,22513.7
04-04-2024,644.5665,22514.65
04-03-2024,644.492,22434.65
04-02-2024,637.7451,22453.3
04-01-2024,632.9981,22462
03-31-2024,617.9561,22326.9
03-28-2024,617.9979,22123.65
03-27-2024,613.8517,22004.7
03-26-2024,610.9961,22096.75
03-22-2024,608.5935,22011.95
03-21-2024,605.5274,21839.1
03-20-2024,592.6972,21817.45
03-19-2024,593.038,22055.7
03-18-2024,604.3264,22023.35
03-15-2024,598.5643,22146.65
03-14-2024,599.4033,21997.7
03-13-2024,584.2209,22335.7
03-12-2024,615.3383,22332.65
03-11-2024,624.4168,22493.55
03-07-2024,631.8441,22474.05
03-06-2024,628.6589,22356.3
03-05-2024,633.8832,22405.6
03-04-2024,636.4885,22378.4
03-01-2024,625.6191,22338.75
02-29-2024,617.32,21982.8
02-28-2024,612.7635,21951.15
02-27-2024,623.4515,22198.35
02-26-2024,626.8261,22122.05
02-23-2024,629.9541,22212.7
02-22-2024,627.5213,22217.45
02-21-2024,618.639,22055.05
02-20-2024,623.6985,22196.95
02-19-2024,623.4107,22122.25
02-16-2024,618.8035,22040.7
02-15-2024,616.7865,21910.75
02-14-2024,610.5419,21840.05
02-13-2024,602.0836,21743.25
02-12-2024,601.2888,21616.05
02-09-2024,619.1333,21782.5
02-08-2024,625.2797,21717.95
02-07-2024,625.0266,21930.5
02-06-2024,624.425,21929.4
02-05-2024,618.4539,21771.7
02-02-2024,614.9372,21853.8
02-01-2024,609.5428,21697.45
01-31-2024,612.6397,21725.7
01-30-2024,606.2594,21522.1
01-29-2024,606.6349,21737.6
01-25-2024,593.4329,21352.6
01-24-2024,589.2893,21453.95
01-23-2024,577.3682,21238.8
01-19-2024,592.9102,21571.8
01-18-2024,584.9413,21622.4
01-17-2024,581.2088,21462.25
01-16-2024,588.4435,21571.95
01-15-2024,591.8532,22032.3
01-12-2024,586.6376,22097.45
01-11-2024,583.5784,21894.55
01-10-2024,579.8525,21647.2
01-09-2024,575.7228,21618.7
01-08-2024,573.0221,21544.85
01-05-2024,580.3548,21513
01-04-2024,581.4106,21710.8
01-03-2024,573.5107,21658.6
01-02-2024,574.9393,21517.35
01-01-2024,575.5106,21665.8
12-29-2023,572.6229,21741.9
12-28-2023,571.0828,21731.4
12-27-2023,565.2779,21778.7
12-26-2023,562.8494,21654.75
12-22-2023,559.4307,21441.35
12-21-2023,554.4757,21349.4
12-20-2023,543.1603,21255.05
12-19-2023,560.5398,21150.15
12-18-2023,559.413,21453.1
12-15-2023,555.9159,21418.65
12-14-2023,552.6418,21456.65
12-13-2023,546.8147,21182.7
12-12-2023,544.1271,20926.35
12-11-2023,545.1836,20906.4
12-08-2023,542.3005,20997.1
